setFriendGun_1522ca	setFriendGun	1522ca	6
setMagnitude_1522d0	setMagnitude	1522d0	6
getMagnitude_1522d6	getMagnitude	1522d6	6
setLevelCollision_1522dc	setLevelCollision	1522dc	6
setImpact_1523b0	setImpact	1523b0	6
getEnemies_1523bc	getEnemies	1523bc	6
setPlayerGun_15241c	setPlayerGun	15241c	6
isPlayerGun_152422	isPlayerGun	152422	6
setEnemy_1523c2	setEnemy	1523c2	8
removeAllEnemies_152410	removeAllEnemies	152410	8
setErrorMagnitudePercentage_1522bc	setErrorMagnitudePercentage	1522bc	14
translate_153a50	translate	153a50	44
setOffset_1522e4	setOffset	1522e4	60
shoot_152b24	shoot	152b24	88
_Gun_152134	~Gun	152134	116
setOffset_152328	setOffset	152328	128
render_15395c	render	15395c	234
setIndex_1521ac	setIndex	1521ac	240
Gun_151f20	Gun	151f20	462
update_153754	update	153754	486
ignite_152b7c	ignite	152b7c	996
shootAt_152428	shootAt	152428	1714
calcCharacterCollision_152f90	calcCharacterCollision	152f90	1934
