StartDraw2FBO	7d088	32
End3d	7d53c	32
Quit	82476	32
LightSetParticleAmbient	85828	32
render2D	9984c	32
ResumeEngineSound	9a5e2	32
resetChargingDrive	9b04e	32
getHitpoints	9b190	32
getHullDamageRate	9b7a4	32
getShieldDamageRate	9b7aa	32
alignToHorizon	a12f2	32
pitchAllPrimaryGuns	a2208	32
setMaxEmpPoints	a2d64	32
turnEnemy	a36a4	32
setScaling	a47f8	32
freeMissionLock	a5378	32
setEnemies	a6178	32
isEnemy	a61e4	32
setSystemVisibility	a8fda	32
stealFriendCargo	c625c	32
removeObjectives	c626a	32
nextFrame	d1018	32
drawFooter	d3fb4	32
drawFooterNoBackButton	d4090	32
getTotalPrice	e0124	32
changeAmount	e0178	32
sqrt	e8c80	32
getDockingTime	11be16	32
setStanding	11d6de	32
applyMissionCompleted	11d992	32
applyDisable	11d99a	32
getCurrentItem	11e744	32
finish	151682	32
trigger	15168a	32
setEnemy	1523c2	32
setName	154f12	32
getWarpGateEnumIndex	1557f0	32
setMedal	156f4c	32
setTargetOffset	15a9a8	32
resetTouch	1699c8	32
setTextCentered	174484	32
getMaxLoad	174c40	32
removeCargo	174ef4	32
getSlots	175388	32
setSystemName	17772c	32
